speedX,speedY,speedZ,rpm,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,steer,accel,brake
60.7058,-0.393084,1.70019,4498.19,4.31907,4.64567,5.45932,7.32043,13.5376,127.978,66.4989,45.1521,34.378,27.9061,23.2188,19.6406,16.9181,14.834,11.9609,9.53718,8.31214,7.78312,7.77177,50.7478,51.2877,52.5993,52.5993,-0.0301658181766232,0,0.5
63.2026,-0.299829,1.73374,4684.05,4.92013,5.39307,6.50594,9.17256,25.363,92.5625,52.4764,36.8136,28.5186,23.3433,19.5235,16.6476,14.4702,12.803,10.4952,8.5391,7.56538,7.18813,7.28181,52.7902,53.304,54.7727,54.7727,0.00651932727636374,0,0.5
49.7568,0.146306,1.39537,2736.25,5.64806,6.29503,7.78576,11.6098,61.0566,71.9442,42.6743,30.4985,23.8696,19.6131,16.4746,14.1352,12.3701,11.0186,9.14383,7.55416,6.77905,6.5174,6.68226,25.2717,28.4689,33.795,30.3697,0.0394833790934546,0,0.5
35.6187,0.15685,0.901063,2030.44,6.29259,7.09439,8.93793,14.0064,91.1984,61.2507,36.8355,26.4813,20.7944,17.0967,14.3928,12.3913,10.8856,9.73339,8.13482,6.78197,6.13423,5.94175,6.14022,13.425,17.6402,24.696,22.87,0.0672013153654182,0.6,0
21.5207,0.047197,0.52087,1217.55,6.76039,7.66834,9.76282,15.8215,101.847,56.7343,33.8557,24.258,19.0128,15.6091,13.1411,11.3241,9.96112,8.91975,7.47655,6.25827,5.68135,5.5231,5.73029,7.6614,9.62667,15.6263,12.9509,0.0888744207557928,0.6,0
20.9306,0.233939,0.396493,2455.45,7.09555,8.06303,10.3027,16.9484,93.9397,56.8583,32.845,23.2166,18.0599,14.7726,12.4107,10.6812,9.38892,8.40411,7.04266,5.8965,5.35588,5.21059,5.41146,16.7161,17.5442,18.1649,18.2883,0.104555744529055,0.6,0
23.7372,0.328265,0.500126,2772.41,7.44923,8.47585,10.862,18.0254,85.471,58.1233,32.0308,22.2234,17.1137,13.9301,11.6697,10.0253,8.80203,7.87283,6.59213,5.5173,5.01192,4.87769,5.06885,19.0693,19.1991,20.5873,20.5873,0.115808671170338,0.6,0
26.8239,0.436527,0.528457,3171.01,7.84198,8.92709,11.4604,18.9613,76.1786,61.9386,31.5562,21.2798,16.145,13.0448,10.8822,9.32213,8.1685,7.29595,6.09828,5.09705,4.62718,4.50204,4.67857,25.0418,21.9555,23.5008,23.5008,0.134838279819237,0.6,0
30.3609,0.536211,0.535762,3590.52,8.27512,9.41763,12.0981,19.7378,67.5161,70.8725,31.5199,20.3663,15.1282,12.0903,10.0279,8.556,7.47601,6.66368,5.55454,4.63175,4.19909,4.08199,4.23975,27.4513,24.5788,26.5873,26.5873,0.150876135873466,0.6,0
34.2117,0.676432,0.584297,4070.68,8.73824,9.92545,12.7252,20.2073,58.7957,100.599,32.8484,19.7185,14.1646,11.1172,9.14203,7.75284,6.7443,5.99157,4.97138,4.12793,3.73197,3.62035,3.7537,30.0896,28.7555,30.1403,30.1403,0.164427965111426,0.6,0
38.434,0.788753,0.403173,4592.02,9.22138,10.4343,13.2831,20.3437,50.8209,200,37.4818,19.5611,13.3023,10.1362,8.22199,6.91143,5.97379,5.28135,4.35224,3.59051,3.23188,3.12437,3.22945,32.5141,32.3972,33.9866,33.9866,0.175717260577998,0.6,0
